Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006771	GO:0042726	flavin-containing compound metabolic process	2.435e-04	0.000e+00	2.584e+00	2.607e-03
GO:0006771	GO:0006767	water-soluble vitamin metabolic process	1.837e-04	0.000e+00	1.910e+00	1.230e-02
GO:0006771	GO:0006766	vitamin metabolic process	1.606e-04	0.000e+00	1.909e+00	1.232e-02
GO:0006771	GO:0006775	fat-soluble vitamin metabolic process	1.177e-02	0.000e+00	4.808e+00	1.557e-05
GO:0006771	GO:0006768	biotin metabolic process	1.942e-03	0.000e+00	2.892e+00	1.284e-03
GO:0006771	GO:0044272	sulfur compound biosynthetic process	1.183e-02	0.000e+00	2.004e+00	9.919e-03
GO:0007386	GO:0007386	compartment pattern specification	3.700e-05	0.000e+00	6.176e+00	6.675e-07
GO:0007386	GO:0001756	somitogenesis	1.623e-03	0.000e+00	4.735e+00	1.839e-05
GO:0007386	GO:0003139	secondary heart field specification	3.930e-04	0.000e+00	5.549e+00	2.827e-06
GO:0007386	GO:0003128	heart field specification	1.931e-03	0.000e+00	5.413e+00	3.868e-06
GO:0007386	GO:0021511	spinal cord patterning	3.559e-03	0.000e+00	6.720e+00	1.907e-07
GO:0007386	GO:0010092	specification of animal organ identity	7.177e-03	0.000e+00	5.309e+00	4.909e-06
GO:0003230	GO:0003230	cardiac atrium development	3.710e-05	0.000e+00	6.484e+00	3.281e-07
GO:0003230	GO:0003205	cardiac chamber development	2.973e-03	0.000e+00	5.441e+00	3.624e-06
GO:0003230	GO:0003231	cardiac ventricle development	4.658e-04	0.000e+00	5.708e+00	1.961e-06
GO:0032645	GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production	3.809e-05	0.000e+00	5.668e+00	2.148e-06
GO:0032645	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	1.797e-04	0.000e+00	5.753e+00	1.766e-06
GO:0032645	GO:0032677	regulation of interleukin-8 production	3.449e-05	0.000e+00	4.860e+00	1.381e-05
GO:0032645	GO:0032757	positive regulation of interleukin-8 production	1.031e-04	0.000e+00	4.995e+00	1.012e-05
GO:0032645	GO:0032717	negative regulation of interleukin-8 production	7.345e-05	0.000e+00	5.545e+00	2.849e-06
GO:0032645	GO:0032680	regulation of tumor necrosis factor production	2.314e-04	0.000e+00	4.682e+00	2.079e-05
GO:0032645	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	2.588e-04	0.000e+00	4.667e+00	2.153e-05
GO:1900044	GO:1900044	regulation of protein K63-linked ubiquitination	3.849e-05	0.000e+00	5.620e+00	2.399e-06
GO:1900044	GO:1902914	regulation of protein polyubiquitination	1.932e-03	0.000e+00	5.296e+00	5.054e-06
GO:1900044	GO:1902523	positive regulation of protein K63-linked ubiquitination	8.551e-04	0.000e+00	6.105e+00	7.858e-07
GO:1900044	GO:1902498	regulation of protein autoubiquitination	1.331e-03	0.000e+00	5.777e+00	1.671e-06
GO:1900044	GO:1902915	negative regulation of protein polyubiquitination	7.817e-03	0.000e+00	5.706e+00	1.968e-06
GO:0014015	GO:0014015	positive regulation of gliogenesis	3.856e-05	0.000e+00	5.051e+00	8.896e-06
GO:0014015	GO:0045687	positive regulation of glial cell differentiation	2.699e-04	0.000e+00	5.223e+00	5.981e-06
GO:0014015	GO:0014013	regulation of gliogenesis	1.129e-04	0.000e+00	4.801e+00	1.581e-05
GO:0014015	GO:2001204	regulation of osteoclast development	3.266e-03	0.000e+00	5.557e+00	2.773e-06
GO:0014015	GO:0048711	positive regulation of astrocyte differentiation	9.956e-05	0.000e+00	5.740e+00	1.820e-06
GO:0014015	GO:0048710	regulation of astrocyte differentiation	1.113e-03	0.000e+00	5.375e+00	4.215e-06
GO:0010759	GO:0010759	positive regulation of macrophage chemotaxis	3.899e-05	0.000e+00	5.354e+00	4.421e-06
GO:0010759	GO:1905523	positive regulation of macrophage migration	2.786e-04	0.000e+00	5.292e+00	5.104e-06
GO:0010759	GO:0010758	regulation of macrophage chemotaxis	4.890e-05	0.000e+00	5.217e+00	6.069e-06
GO:0010759	GO:1905521	regulation of macrophage migration	1.598e-04	0.000e+00	5.100e+00	7.938e-06
GO:0010759	GO:1905522	negative regulation of macrophage migration	7.412e-03	0.000e+00	5.827e+00	1.488e-06
GO:0006972	GO:0006972	hyperosmotic response	3.992e-05	0.000e+00	4.695e+00	2.018e-05
GO:0006972	GO:0042538	hyperosmotic salinity response	2.537e-04	0.000e+00	5.342e+00	4.547e-06
GO:0006972	GO:0009651	response to salt stress	6.821e-05	0.000e+00	4.427e+00	3.741e-05
GO:0006972	GO:0071472	cellular response to salt stress	5.816e-04	0.000e+00	5.066e+00	8.587e-06
GO:0006972	GO:0071476	cellular hypotonic response	1.811e-03	0.000e+00	5.177e+00	6.653e-06
GO:0032722	GO:0032722	positive regulation of chemokine production	3.998e-05	0.000e+00	4.865e+00	1.366e-05
GO:0032722	GO:0032642	regulation of chemokine production	7.380e-05	0.000e+00	4.745e+00	1.800e-05
GO:0032722	GO:2000341	regulation of chemokine (C-X-C motif) ligand 2 production	1.666e-02	0.000e+00	5.619e+00	2.403e-06
GO:0032722	GO:0071639	positive regulation of monocyte chemotactic protein-1 production	1.340e-03	0.000e+00	5.713e+00	1.938e-06
GO:0032722	GO:0071637	regulation of monocyte chemotactic protein-1 production	1.564e-03	0.000e+00	5.528e+00	2.964e-06
GO:0032722	GO:0032661	regulation of interleukin-18 production	8.482e-05	0.000e+00	6.217e+00	6.065e-07
GO:0032722	GO:0032741	positive regulation of interleukin-18 production	2.312e-03	0.000e+00	6.410e+00	3.891e-07
GO:0032722	GO:0032733	positive regulation of interleukin-10 production	1.043e-04	0.000e+00	5.219e+00	6.035e-06
GO:0032722	GO:0032653	regulation of interleukin-10 production	1.348e-04	0.000e+00	5.016e+00	9.636e-06
GO:0032722	GO:0032693	negative regulation of interleukin-10 production	1.041e-03	0.000e+00	5.478e+00	3.326e-06
GO:0032722	GO:0032729	positive regulation of interferon-gamma production	1.153e-04	0.000e+00	4.898e+00	1.266e-05
GO:0032722	GO:0032649	regulation of interferon-gamma production	1.008e-04	0.000e+00	4.715e+00	1.928e-05
GO:0032722	GO:0032689	negative regulation of interferon-gamma production	4.020e-04	0.000e+00	5.236e+00	5.806e-06
GO:0032722	GO:0032760	positive regulation of tumor necrosis factor production	1.486e-04	0.000e+00	5.009e+00	9.796e-06
GO:0032722	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	1.759e-04	0.000e+00	4.987e+00	1.030e-05
GO:0032722	GO:0010574	regulation of vascular endothelial growth factor production	1.783e-04	0.000e+00	5.225e+00	5.962e-06
GO:0032722	GO:0010575	positive regulation of vascular endothelial growth factor production	4.780e-04	0.000e+00	5.292e+00	5.104e-06
GO:0032722	GO:0032735	positive regulation of interleukin-12 production	2.604e-04	0.000e+00	5.198e+00	6.344e-06
GO:0032722	GO:0032655	regulation of interleukin-12 production	4.920e-04	0.000e+00	4.912e+00	1.225e-05
GO:0032722	GO:0032695	negative regulation of interleukin-12 production	5.526e-03	0.000e+00	5.520e+00	3.017e-06
GO:0032722	GO:1903800	positive regulation of production of miRNAs involved in gene silencing by miRNA	4.846e-04	0.000e+00	5.616e+00	2.422e-06
GO:0032722	GO:0009893	positive regulation of metabolic process	3.631e-03	0.000e+00	2.485e+00	3.272e-03
GO:0032722	GO:0032682	negative regulation of chemokine production	5.163e-04	0.000e+00	5.535e+00	2.914e-06
GO:0032722	GO:0071638	negative regulation of monocyte chemotactic protein-1 production	1.384e-02	0.000e+00	5.992e+00	1.018e-06
GO:0032722	GO:0032743	positive regulation of interleukin-2 production	9.320e-04	0.000e+00	5.193e+00	6.412e-06
GO:0032722	GO:0032703	negative regulation of interleukin-2 production	6.278e-04	0.000e+00	5.276e+00	5.302e-06
GO:0032722	GO:0032663	regulation of interleukin-2 production	8.989e-04	0.000e+00	4.918e+00	1.209e-05
GO:0032722	GO:0010988	regulation of low-density lipoprotein particle clearance	2.552e-03	0.000e+00	5.669e+00	2.144e-06
GO:0032722	GO:0010986	positive regulation of lipoprotein particle clearance	3.581e-03	0.000e+00	6.063e+00	8.659e-07
GO:0032722	GO:1900221	regulation of amyloid-beta clearance	4.688e-03	0.000e+00	5.567e+00	2.712e-06
GO:0032722	GO:1900223	positive regulation of amyloid-beta clearance	1.809e-02	0.000e+00	6.129e+00	7.438e-07
GO:2000738	GO:2000738	positive regulation of stem cell differentiation	4.018e-05	0.000e+00	5.375e+00	4.219e-06
GO:2000738	GO:2000736	regulation of stem cell differentiation	6.619e-05	0.000e+00	4.847e+00	1.421e-05
GO:2000738	GO:2000737	negative regulation of stem cell differentiation	1.769e-04	0.000e+00	5.364e+00	4.330e-06
GO:2000738	GO:2000739	regulation of mesenchymal stem cell differentiation	7.392e-05	0.000e+00	5.962e+00	1.091e-06
GO:2000738	GO:1902036	regulation of hematopoietic stem cell differentiation	6.745e-04	0.000e+00	5.287e+00	5.161e-06
GO:0002447	GO:0002447	eosinophil mediated immunity	4.116e-05	0.000e+00	8.419e+00	3.815e-09
GO:0002447	GO:0070942	neutrophil mediated cytotoxicity	5.374e-03	0.000e+00	6.015e+00	9.651e-07
GO:0002447	GO:0002448	mast cell mediated immunity	8.460e-04	0.000e+00	6.640e+00	2.289e-07
GO:0002447	GO:0070943	neutrophil-mediated killing of symbiont cell	5.374e-03	0.000e+00	6.015e+00	9.651e-07
GO:0045586	GO:0045586	regulation of gamma-delta T cell differentiation	4.180e-05	0.000e+00	5.754e+00	1.762e-06
GO:0045586	GO:0046643	regulation of gamma-delta T cell activation	4.180e-05	0.000e+00	5.747e+00	1.789e-06
GO:0045586	GO:0045588	positive regulation of gamma-delta T cell differentiation	6.475e-04	0.000e+00	5.909e+00	1.232e-06
GO:0045586	GO:0046645	positive regulation of gamma-delta T cell activation	6.475e-04	0.000e+00	5.900e+00	1.259e-06
GO:0002092	GO:0002092	positive regulation of receptor internalization	4.344e-05	0.000e+00	5.325e+00	4.734e-06
GO:0002092	GO:0002090	regulation of receptor internalization	5.396e-03	0.000e+00	5.034e+00	9.243e-06
GO:0002092	GO:0060100	positive regulation of phagocytosis, engulfment	2.246e-05	0.000e+00	5.623e+00	2.384e-06
GO:0002092	GO:1905155	positive regulation of membrane invagination	2.246e-05	0.000e+00	5.623e+00	2.384e-06
GO:0002092	GO:0060099	regulation of phagocytosis, engulfment	2.246e-05	0.000e+00	5.544e+00	2.857e-06
GO:0002092	GO:1905153	regulation of membrane invagination	4.355e-05	0.000e+00	5.526e+00	2.975e-06
GO:0002092	GO:0045807	positive regulation of endocytosis	7.554e-04	0.000e+00	4.647e+00	2.252e-05
GO:0002092	GO:0048260	positive regulation of receptor-mediated endocytosis	3.345e-03	0.000e+00	4.947e+00	1.129e-05
GO:0009155	GO:0009155	purine deoxyribonucleotide catabolic process	4.349e-05	0.000e+00	4.864e+00	1.369e-05
GO:0009155	GO:0009151	purine deoxyribonucleotide metabolic process	6.377e-04	0.000e+00	4.782e+00	1.654e-05
GO:0009155	GO:0046069	cGMP catabolic process	3.224e-03	0.000e+00	5.903e+00	1.251e-06
GO:0009155	GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process	2.159e-02	0.000e+00	2.924e+00	1.190e-03
GO:0009155	GO:0009265	2'-deoxyribonucleotide biosynthetic process	1.645e-02	0.000e+00	2.924e+00	1.192e-03
GO:0009155	GO:0009263	deoxyribonucleotide biosynthetic process	1.645e-02	0.000e+00	2.871e+00	1.345e-03
GO:0009155	GO:0046385	deoxyribose phosphate biosynthetic process	1.645e-02	0.000e+00	2.924e+00	1.192e-03
GO:0010954	GO:0010954	positive regulation of protein processing	4.370e-05	0.000e+00	5.142e+00	7.206e-06
GO:0010954	GO:1903319	positive regulation of protein maturation	4.614e-05	0.000e+00	5.091e+00	8.106e-06
GO:0010954	GO:0070613	regulation of protein processing	4.819e-05	0.000e+00	4.845e+00	1.430e-05
GO:0010954	GO:1903317	regulation of protein maturation	6.278e-05	0.000e+00	4.816e+00	1.527e-05
GO:0010954	GO:0010755	regulation of plasminogen activation	9.762e-05	0.000e+00	5.323e+00	4.749e-06
GO:0010954	GO:0010756	positive regulation of plasminogen activation	1.475e-03	0.000e+00	5.490e+00	3.235e-06
GO:0048702	GO:0048702	embryonic neurocranium morphogenesis	4.405e-05	0.000e+00	5.439e+00	3.643e-06
GO:0048702	GO:0007369	gastrulation	5.887e-03	0.000e+00	4.810e+00	1.549e-05
GO:0048702	GO:0048570	notochord morphogenesis	4.934e-05	0.000e+00	5.674e+00	2.117e-06
GO:0048702	GO:0048701	embryonic cranial skeleton morphogenesis	2.675e-03	0.000e+00	4.873e+00	1.340e-05
GO:0048702	GO:0060669	embryonic placenta morphogenesis	4.098e-04	0.000e+00	6.237e+00	5.798e-07
GO:0048702	GO:0042472	inner ear morphogenesis	1.265e-02	0.000e+00	4.812e+00	1.542e-05
GO:0048702	GO:0002093	auditory receptor cell morphogenesis	4.952e-03	0.000e+00	5.970e+00	1.072e-06
GO:0048702	GO:0034446	substrate adhesion-dependent cell spreading	7.744e-03	0.000e+00	4.856e+00	1.395e-05
GO:0060563	GO:0060563	neuroepithelial cell differentiation	4.441e-05	0.000e+00	5.397e+00	4.013e-06
GO:0060563	GO:0061101	neuroendocrine cell differentiation	3.222e-03	0.000e+00	5.688e+00	2.052e-06
GO:0060563	GO:0002065	columnar/cuboidal epithelial cell differentiation	2.904e-03	0.000e+00	4.858e+00	1.388e-05
GO:0060563	GO:0009913	epidermal cell differentiation	3.612e-03	0.000e+00	4.769e+00	1.704e-05
GO:0060563	GO:0030216	keratinocyte differentiation	1.026e-02	0.000e+00	5.048e+00	8.960e-06
GO:0060563	GO:0030859	polarized epithelial cell differentiation	8.157e-03	0.000e+00	5.346e+00	4.509e-06
GO:0061213	GO:0061213	positive regulation of mesonephros development	4.458e-05	0.000e+00	8.419e+00	3.815e-09
GO:0061213	GO:0061217	regulation of mesonephros development	4.458e-05	0.000e+00	5.982e+00	1.041e-06
GO:0061213	GO:0090184	positive regulation of kidney development	2.506e-04	0.000e+00	5.723e+00	1.892e-06
GO:0061213	GO:0090183	regulation of kidney development	8.275e-04	0.000e+00	5.098e+00	7.980e-06
GO:1905907	GO:1905907	negative regulation of amyloid fibril formation	4.659e-05	0.000e+00	5.913e+00	1.221e-06
GO:1905907	GO:1905906	regulation of amyloid fibril formation	4.665e-05	0.000e+00	5.702e+00	1.987e-06
GO:1905907	GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	5.514e-05	0.000e+00	5.638e+00	2.300e-06
GO:1905907	GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	1.327e-02	0.000e+00	5.372e+00	4.242e-06
GO:1905907	GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	1.154e-02	0.000e+00	6.350e+00	4.463e-07
GO:1905907	GO:1900739	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	1.154e-02	0.000e+00	6.350e+00	4.463e-07
GO:1905907	GO:0090084	negative regulation of inclusion body assembly	1.082e-03	0.000e+00	5.785e+00	1.640e-06
GO:1905907	GO:0090071	negative regulation of ribosome biogenesis	1.311e-03	0.000e+00	3.944e+00	1.137e-04
GO:1905907	GO:1902744	negative regulation of lamellipodium organization	1.382e-03	0.000e+00	6.138e+00	7.286e-07
GO:1905907	GO:2000392	regulation of lamellipodium morphogenesis	8.542e-04	0.000e+00	5.632e+00	2.335e-06
GO:1905907	GO:1902743	regulation of lamellipodium organization	1.018e-02	0.000e+00	4.873e+00	1.341e-05
GO:1905907	GO:0031272	regulation of pseudopodium assembly	1.338e-02	0.000e+00	5.633e+00	2.331e-06
GO:0070293	GO:0070293	renal absorption	4.661e-05	0.000e+00	5.460e+00	3.471e-06
GO:0070293	GO:0070294	renal sodium ion absorption	7.570e-04	0.000e+00	5.994e+00	1.015e-06
GO:0070293	GO:0003094	glomerular filtration	2.901e-04	0.000e+00	5.351e+00	4.455e-06
GO:0070293	GO:0097205	renal filtration	3.382e-04	0.000e+00	5.248e+00	5.646e-06
GO:0070293	GO:0003096	renal sodium ion transport	1.833e-04	0.000e+00	5.820e+00	1.514e-06
GO:0070293	GO:0003014	renal system process	2.977e-04	0.000e+00	4.676e+00	2.108e-05
GO:0070293	GO:0003071	renal system process involved in regulation of systemic arterial blood pressure	8.150e-04	0.000e+00	5.623e+00	2.384e-06
GO:0070293	GO:0001977	renal system process involved in regulation of blood volume	5.101e-03	0.000e+00	5.786e+00	1.636e-06
GO:0070293	GO:0035810	positive regulation of urine volume	3.322e-03	0.000e+00	5.845e+00	1.430e-06
GO:0070293	GO:0035809	regulation of urine volume	5.838e-03	0.000e+00	5.578e+00	2.643e-06
GO:0014807	GO:0014807	regulation of somitogenesis	4.672e-05	0.000e+00	5.840e+00	1.446e-06
GO:0014807	GO:0008360	regulation of cell shape	6.405e-05	0.000e+00	2.443e+00	3.604e-03
GO:0014807	GO:0030193	regulation of blood coagulation	6.382e-04	0.000e+00	4.558e+00	2.764e-05
GO:0014807	GO:1900046	regulation of hemostasis	3.543e-04	0.000e+00	4.556e+00	2.781e-05
GO:0014807	GO:0050818	regulation of coagulation	4.202e-04	0.000e+00	4.487e+00	3.260e-05
GO:0014807	GO:1903034	regulation of response to wounding	4.573e-04	0.000e+00	4.319e+00	4.799e-05
GO:0014807	GO:1900047	negative regulation of hemostasis	4.503e-03	0.000e+00	4.817e+00	1.522e-05
GO:0014807	GO:0050819	negative regulation of coagulation	4.022e-03	0.000e+00	4.704e+00	1.976e-05
GO:0014807	GO:0061043	regulation of vascular wound healing	6.662e-03	0.000e+00	5.941e+00	1.144e-06
GO:0097212	GO:0097212	lysosomal membrane organization	5.278e-05	0.000e+00	6.464e+00	3.433e-07
GO:2000049	GO:2000049	positive regulation of cell-cell adhesion mediated by cadherin	5.386e-05	0.000e+00	5.798e+00	1.591e-06
GO:2000049	GO:2000047	regulation of cell-cell adhesion mediated by cadherin	1.904e-04	0.000e+00	5.412e+00	3.876e-06
GO:2000049	GO:0042102	positive regulation of T cell proliferation	8.801e-05	0.000e+00	4.705e+00	1.973e-05
GO:2000049	GO:0050671	positive regulation of lymphocyte proliferation	1.725e-04	0.000e+00	4.511e+00	3.081e-05
GO:2000049	GO:0032946	positive regulation of mononuclear cell proliferation	1.856e-04	0.000e+00	4.499e+00	3.166e-05
GO:0032490	GO:0032490	detection of molecule of bacterial origin	5.393e-05	0.000e+00	5.298e+00	5.035e-06
GO:0032490	GO:0098581	detection of external biotic stimulus	7.596e-05	0.000e+00	5.109e+00	7.778e-06
GO:0032490	GO:0042494	detection of bacterial lipoprotein	1.170e-04	0.000e+00	5.505e+00	3.124e-06
GO:0032490	GO:0016045	detection of bacterium	1.873e-04	0.000e+00	5.676e+00	2.109e-06
GO:0032490	GO:0098543	detection of other organism	1.974e-04	0.000e+00	5.623e+00	2.380e-06
GO:0032490	GO:0009595	detection of biotic stimulus	9.461e-05	0.000e+00	3.635e+00	2.318e-04
GO:0032490	GO:0009593	detection of chemical stimulus	4.919e-03	0.000e+00	3.367e+00	4.292e-04
GO:0032490	GO:0060242	contact inhibition	5.371e-03	0.000e+00	6.204e+00	6.256e-07
GO:0032490	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	1.738e-02	0.000e+00	3.399e+00	3.991e-04
GO:0042939	GO:0042939	tripeptide transport	5.414e-05	0.000e+00	4.260e+00	5.491e-05
GO:0042939	GO:0035443	tripeptide transmembrane transport	4.053e-03	0.000e+00	4.352e+00	4.444e-05
GO:0042939	GO:0034775	glutathione transmembrane transport	4.053e-03	0.000e+00	4.352e+00	4.442e-05
GO:0042939	GO:0006857	oligopeptide transport	6.900e-03	0.000e+00	3.603e+00	2.497e-04
GO:0043508	GO:0043508	negative regulation of JUN kinase activity	5.474e-05	0.000e+00	5.633e+00	2.327e-06
GO:0043508	GO:1903753	negative regulation of p38MAPK cascade	6.427e-05	0.000e+00	5.769e+00	1.701e-06
GO:0043508	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	5.297e-03	0.000e+00	4.465e+00	3.425e-05
GO:0043508	GO:0070374	positive regulation of ERK1 and ERK2 cascade	1.101e-04	0.000e+00	4.432e+00	3.697e-05
GO:0043508	GO:0032874	positive regulation of stress-activated MAPK cascade	4.386e-03	0.000e+00	4.472e+00	3.377e-05
GO:0043508	GO:2001046	positive regulation of integrin-mediated signaling pathway	7.238e-03	0.000e+00	5.730e+00	1.862e-06
GO:0043508	GO:1904894	positive regulation of receptor signaling pathway via STAT	1.260e-02	0.000e+00	5.183e+00	6.561e-06
GO:0043508	GO:0050850	positive regulation of calcium-mediated signaling	1.689e-02	0.000e+00	5.151e+00	7.065e-06
GO:0060142	GO:0060142	regulation of syncytium formation by plasma membrane fusion	5.697e-05	0.000e+00	5.109e+00	7.782e-06
GO:0060142	GO:0060143	positive regulation of syncytium formation by plasma membrane fusion	4.114e-04	0.000e+00	5.214e+00	6.111e-06
GO:0060142	GO:1901739	regulation of myoblast fusion	2.566e-04	0.000e+00	5.321e+00	4.776e-06
GO:0060142	GO:1901741	positive regulation of myoblast fusion	4.606e-03	0.000e+00	5.447e+00	3.570e-06
GO:0031128	GO:0031128	developmental induction	5.934e-05	0.000e+00	5.222e+00	6.000e-06
GO:0031128	GO:0001759	organ induction	8.035e-04	0.000e+00	5.359e+00	4.371e-06
GO:0019731	GO:0019731	antibacterial humoral response	6.067e-05	0.000e+00	5.013e+00	9.716e-06
GO:0019731	GO:0019730	antimicrobial humoral response	1.736e-03	0.000e+00	4.717e+00	1.921e-05
GO:0019731	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	9.623e-04	0.000e+00	5.139e+00	7.259e-06
GO:0019731	GO:0006959	humoral immune response	4.348e-05	0.000e+00	4.054e+00	8.837e-05
GO:0019731	GO:0006956	complement activation	2.185e-03	0.000e+00	4.234e+00	5.840e-05
GO:0019731	GO:0006958	complement activation, classical pathway	3.911e-04	0.000e+00	4.618e+00	2.409e-05
GO:0019731	GO:0033153	T cell receptor V(D)J recombination	8.371e-04	0.000e+00	5.425e+00	3.761e-06
GO:0019731	GO:0002681	somatic recombination of T cell receptor gene segments	8.371e-04	0.000e+00	5.425e+00	3.761e-06
GO:0019731	GO:0002568	somatic diversification of T cell receptor genes	8.371e-04	0.000e+00	5.425e+00	3.761e-06
GO:0019731	GO:0006957	complement activation, alternative pathway	1.433e-02	0.000e+00	5.187e+00	6.504e-06
GO:0019731	GO:0002385	mucosal immune response	1.655e-02	0.000e+00	5.352e+00	4.444e-06
GO:0019731	GO:0002251	organ or tissue specific immune response	1.148e-02	0.000e+00	5.297e+00	5.050e-06
GO:0019731	GO:0002455	humoral immune response mediated by circulating immunoglobulin	9.670e-05	0.000e+00	6.098e+00	7.972e-07
GO:0019731	GO:0016064	immunoglobulin mediated immune response	5.516e-04	0.000e+00	5.488e+00	3.254e-06
GO:0019731	GO:0019724	B cell mediated immunity	5.516e-04	0.000e+00	5.407e+00	3.914e-06
GO:0019731	GO:0002449	lymphocyte mediated immunity	4.622e-04	0.000e+00	4.966e+00	1.082e-05
GO:0019373	GO:0019373	epoxygenase P450 pathway	6.171e-05	0.000e+00	5.816e+00	1.526e-06
GO:0019373	GO:0019371	cyclooxygenase pathway	9.922e-05	0.000e+00	5.168e+00	6.790e-06
GO:0019373	GO:0001676	long-chain fatty acid metabolic process	5.960e-05	0.000e+00	3.833e+00	1.469e-04
GO:0019373	GO:0042759	long-chain fatty acid biosynthetic process	2.615e-04	0.000e+00	4.835e+00	1.463e-05
GO:0019373	GO:0043651	linoleic acid metabolic process	2.583e-04	0.000e+00	5.635e+00	2.315e-06
GO:0019373	GO:0051122	hepoxilin biosynthetic process	1.101e-02	0.000e+00	5.879e+00	1.320e-06
GO:0019373	GO:0051121	hepoxilin metabolic process	1.101e-02	0.000e+00	5.878e+00	1.324e-06
GO:0019373	GO:0006690	icosanoid metabolic process	2.297e-04	0.000e+00	4.100e+00	7.944e-05
GO:0019373	GO:0006692	prostanoid metabolic process	5.453e-04	0.000e+00	4.322e+00	4.770e-05
GO:0019373	GO:0019372	lipoxygenase pathway	3.643e-03	0.000e+00	5.556e+00	2.781e-06
GO:0019373	GO:0046456	icosanoid biosynthetic process	5.446e-04	0.000e+00	4.414e+00	3.850e-05
GO:0019373	GO:0001516	prostaglandin biosynthetic process	3.875e-03	0.000e+00	4.524e+00	2.992e-05
GO:0016255	GO:0016255	attachment of GPI anchor to protein	6.178e-05	0.000e+00	4.284e+00	5.203e-05
GO:0030318	GO:0030318	melanocyte differentiation	6.237e-05	0.000e+00	4.990e+00	1.023e-05
GO:0030318	GO:0050931	pigment cell differentiation	1.157e-02	0.000e+00	4.841e+00	1.442e-05
GO:0030318	GO:0061005	cell differentiation involved in kidney development	1.182e-03	0.000e+00	5.131e+00	7.393e-06
GO:0030318	GO:0035850	epithelial cell differentiation involved in kidney development	4.340e-03	0.000e+00	5.290e+00	5.123e-06
GO:0030318	GO:0072202	cell differentiation involved in metanephros development	3.359e-03	0.000e+00	5.604e+00	2.487e-06
GO:0030318	GO:1904238	pericyte cell differentiation	1.163e-03	0.000e+00	6.260e+00	5.493e-07
GO:0030318	GO:0072007	mesangial cell differentiation	2.455e-03	0.000e+00	6.711e+00	1.945e-07
GO:0030318	GO:0072008	glomerular mesangial cell differentiation	2.455e-03	0.000e+00	6.711e+00	1.945e-07
GO:0030318	GO:0090399	replicative senescence	1.930e-03	0.000e+00	5.621e+00	2.392e-06
GO:0030318	GO:0001708	cell fate specification	5.547e-03	0.000e+00	4.452e+00	3.530e-05
GO:0030318	GO:0002320	lymphoid progenitor cell differentiation	3.182e-03	0.000e+00	5.600e+00	2.514e-06
GO:0030318	GO:0002328	pro-B cell differentiation	8.095e-03	0.000e+00	6.276e+00	5.302e-07
GO:0030318	GO:0002070	epithelial cell maturation	3.777e-03	0.000e+00	5.590e+00	2.571e-06
GO:0030318	GO:0048820	hair follicle maturation	2.613e-03	0.000e+00	5.986e+00	1.034e-06
GO:0030318	GO:0071695	anatomical structure maturation	4.879e-03	0.000e+00	4.361e+00	4.353e-05
GO:0060022	GO:0060022	hard palate development	6.259e-05	0.000e+00	6.063e+00	8.659e-07
GO:0098801	GO:0098801	regulation of renal system process	6.422e-05	0.000e+00	5.351e+00	4.459e-06
GO:0098801	GO:0003093	regulation of glomerular filtration	8.342e-04	0.000e+00	5.830e+00	1.480e-06
GO:0098801	GO:0045987	positive regulation of smooth muscle contraction	3.289e-03	0.000e+00	5.312e+00	4.879e-06
GO:0098801	GO:0045933	positive regulation of muscle contraction	7.035e-03	0.000e+00	5.167e+00	6.809e-06
GO:0098801	GO:0051930	regulation of sensory perception of pain	6.963e-04	0.000e+00	5.430e+00	3.712e-06
GO:0098801	GO:0051931	regulation of sensory perception	2.894e-03	0.000e+00	5.390e+00	4.070e-06
GO:0032222	GO:0032222	regulation of synaptic transmission, cholinergic	6.447e-05	0.000e+00	4.927e+00	1.182e-05
GO:0032222	GO:1900272	negative regulation of long-term synaptic potentiation	1.212e-02	0.000e+00	5.705e+00	1.972e-06
GO:0032222	GO:0001960	negative regulation of cytokine-mediated signaling pathway	5.547e-03	0.000e+00	3.292e+00	5.108e-04
GO:0032222	GO:0060761	negative regulation of response to cytokine stimulus	1.010e-02	0.000e+00	3.291e+00	5.118e-04
GO:0032222	GO:0035581	sequestering of extracellular ligand from receptor	1.253e-02	0.000e+00	5.575e+00	2.659e-06
GO:0032222	GO:0033146	regulation of intracellular estrogen receptor signaling pathway	1.268e-02	0.000e+00	5.170e+00	6.763e-06
GO:0032222	GO:0001919	regulation of receptor recycling	4.620e-03	0.000e+00	4.999e+00	1.002e-05
